no_of_tiles_x,no_of_tiles_y,no_of_bins,median_filter_param,no_of_hid_layer_neurons,accuracy
3,7,168,3,4032,0.0
3,7,168,3,5040,0.0
3,7,168,5,1008,0.0
3,7,168,5,2016,0.0
3,7,168,5,3024,0.0
3,7,168,5,4032,0.0
3,7,168,5,5040,0.0
3,7,168,7,1008,0.0
3,7,168,7,2016,0.0
3,7,168,7,3024,0.0
3,7,168,7,4032,0.0
3,7,168,7,5040,0.0
3,7,168,9,1008,0.0
3,7,168,9,2016,0.0
3,7,168,9,3024,0.0
3,7,168,9,4032,0.0
3,7,168,9,5040,0.0
3,7,168,11,1008,0.0
3,7,168,11,2016,0.0
3,7,168,11,3024,0.0
3,7,168,11,4032,0.0
3,7,168,11,5040,0.0
3,7,256,3,1536,0.0
3,7,256,3,3072,0.0
3,7,256,3,4608,0.0
3,7,256,3,6144,0.0
3,7,256,3,7680,0.0
3,7,256,5,1536,0.0
3,7,256,5,3072,0.0
3,7,256,5,4608,0.0
3,7,256,5,6144,0.0
3,7,256,5,7680,0.0
3,7,256,7,1536,0.0
3,7,256,7,3072,0.0
3,7,256,7,4608,0.0
3,7,256,7,6144,0.0
3,7,256,7,7680,0.0
3,7,256,9,1536,0.0
3,7,256,9,3072,0.0
3,7,256,9,4608,0.0
3,7,256,9,6144,0.0
3,7,256,9,7680,0.0
3,7,256,11,1536,0.0
3,7,256,11,3072,0.0
3,7,256,11,4608,0.0
3,7,256,11,6144,0.0
3,7,256,11,7680,0.0
